#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0090068	Positive regulation of cell cycle process	7	251	1.13	0.98	0.00023	9606.ENSP00000228843,9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000275517,9606.ENSP00000356319,9606.ENSP00000481465,9606.ENSP00000499238	RAD51AP1,DLGAP5,NCAPG,CDCA5,KIF14,FAM83D,NUSAP1
GO:0016043	Cellular component organization	26	5436	0.36	0.4	0.00045	9606.ENSP00000220514,9606.ENSP00000247191,9606.ENSP00000251496,9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000282074,9606.ENSP00000300035,9606.ENSP00000336868,9606.ENSP00000355506,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000358813,9606.ENSP00000360540,9606.ENSP00000361298,9606.ENSP00000361895,9606.ENSP00000363055,9606.ENSP00000363524,9606.ENSP00000367545,9606.ENSP00000377007,9606.ENSP00000414109,9606.ENSP00000448955,9606.ENSP00000465992,9606.ENSP00000489236,9606.ENSP00000499238	OIP5,DLGAP5,NCAPG,CENPE,NUF2,CDCA5,SPC25,PCLAF,CENPA,EXO1,CENPF,KIF14,ASPM,TTK,CEP55,KIF2C,MFSD2A,ZWINT,KIF4A,TP73,CENPN,HJURP,GAS2L3,KIF18B,H4C8,NUSAP1
GO:0140694	Non-membrane-bounded organelle assembly	7	314	1.03	0.81	0.00094	9606.ENSP00000247191,9606.ENSP00000265148,9606.ENSP00000336868,9606.ENSP00000355922,9606.ENSP00000356379,9606.ENSP00000363524,9606.ENSP00000377007	DLGAP5,CENPE,CENPA,CENPF,ASPM,KIF4A,CENPN
GO:0051315	Attachment of mitotic spindle microtubules to kinetochore	3	13	2.04	1.08	0.0011	9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000361298	CENPE,NUF2,KIF2C
GO:0007076	Mitotic chromosome condensation	3	17	1.93	0.97	0.0020	9606.ENSP00000251496,9606.ENSP00000275517,9606.ENSP00000499238	NCAPG,CDCA5,NUSAP1
GO:0007018	Microtubule-based movement	7	384	0.94	0.67	0.0031	9606.ENSP00000247191,9606.ENSP00000265148,9606.ENSP00000324020,9606.ENSP00000356319,9606.ENSP00000361298,9606.ENSP00000363524,9606.ENSP00000465992	DLGAP5,CENPE,KIF15,KIF14,KIF2C,KIF4A,KIF18B
GO:0043933	Protein-containing complex organization	12	1465	0.6	0.46	0.0063	9606.ENSP00000220514,9606.ENSP00000247191,9606.ENSP00000265148,9606.ENSP00000336868,9606.ENSP00000355922,9606.ENSP00000361298,9606.ENSP00000361895,9606.ENSP00000367545,9606.ENSP00000377007,9606.ENSP00000414109,9606.ENSP00000465992,9606.ENSP00000489236	OIP5,DLGAP5,CENPE,CENPA,CENPF,KIF2C,MFSD2A,TP73,CENPN,HJURP,KIF18B,H4C8
GO:0000281	Mitotic cytokinesis	4	84	1.36	0.72	0.0068	9606.ENSP00000336868,9606.ENSP00000360540,9606.ENSP00000363524,9606.ENSP00000499238	CENPA,CEP55,KIF4A,NUSAP1
GO:0006336	DNA replication-independent chromatin assembly	3	33	1.64	0.69	0.0115	9606.ENSP00000220514,9606.ENSP00000414109,9606.ENSP00000489236	OIP5,HJURP,H4C8
GO:0007079	Mitotic chromosome movement towards spindle pole	2	4	2.38	0.71	0.0125	9606.ENSP00000247191,9606.ENSP00000265148	DLGAP5,CENPE
GO:0071459	Protein localization to chromosome, centromeric region	3	41	1.55	0.6	0.0198	9606.ENSP00000336868,9606.ENSP00000358813,9606.ENSP00000489236	CENPA,TTK,H4C8
GO:0034080	CENP-A containing chromatin assembly	2	7	2.14	0.58	0.0274	9606.ENSP00000220514,9606.ENSP00000414109	OIP5,HJURP
GO:0051321	Meiotic cell cycle	5	250	0.98	0.46	0.0312	9606.ENSP00000228843,9606.ENSP00000271452,9606.ENSP00000355506,9606.ENSP00000356379,9606.ENSP00000358813	RAD51AP1,NUF2,EXO1,ASPM,TTK
GO:0051641	Cellular localization	15	2677	0.43	0.31	0.0335	9606.ENSP00000265148,9606.ENSP00000271452,9606.ENSP00000275517,9606.ENSP00000336868,9606.ENSP00000355922,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000358813,9606.ENSP00000360540,9606.ENSP00000361298,9606.ENSP00000363055,9606.ENSP00000363524,9606.ENSP00000481465,9606.ENSP00000489236,9606.ENSP00000499238	CENPE,NUF2,CDCA5,CENPA,CENPF,KIF14,ASPM,TTK,CEP55,KIF2C,ZWINT,KIF4A,FAM83D,H4C8,NUSAP1
GO:0065003	Protein-containing complex assembly	10	1303	0.57	0.33	0.0468	9606.ENSP00000220514,9606.ENSP00000247191,9606.ENSP00000265148,9606.ENSP00000336868,9606.ENSP00000355922,9606.ENSP00000361895,9606.ENSP00000367545,9606.ENSP00000377007,9606.ENSP00000414109,9606.ENSP00000489236	OIP5,DLGAP5,CENPE,CENPA,CENPF,MFSD2A,TP73,CENPN,HJURP,H4C8
