#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-381676	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	6	42	1.59	1.7	1.04e-06	9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000360141,9606.ENSP00000363411,9606.ENSP00000398629	GNG8,GNG2,GNG12,GNAS,GNG10,GNG4
HSA-9660821	ADORA2B mediated anti-inflammatory cytokines production	6	43	1.58	1.68	1.16e-06	9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000360141,9606.ENSP00000363411,9606.ENSP00000398629	GNG8,GNG2,GNG12,GNAS,GNG10,GNG4
HSA-8964616	G beta:gamma signalling through CDC42	5	20	1.84	1.77	1.36e-06	9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000363411,9606.ENSP00000398629	GNG8,GNG2,GNG12,GNG10,GNG4
HSA-9634597	GPER1 signaling	6	45	1.56	1.65	1.42e-06	9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000360141,9606.ENSP00000363411,9606.ENSP00000398629	GNG8,GNG2,GNG12,GNAS,GNG10,GNG4
HSA-392170	ADP signalling through P2Y purinoceptor 12	5	22	1.79	1.71	1.97e-06	9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000363411,9606.ENSP00000398629	GNG8,GNG2,GNG12,GNG10,GNG4
HSA-418597	G alpha (z) signalling events	6	48	1.53	1.6	1.97e-06	9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000360141,9606.ENSP00000363411,9606.ENSP00000398629	GNG8,GNG2,GNG12,GNAS,GNG10,GNG4
HSA-392451	G beta:gamma signalling through PI3Kgamma	5	25	1.74	1.63	3.31e-06	9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000363411,9606.ENSP00000398629	GNG8,GNG2,GNG12,GNG10,GNG4
HSA-391908	Prostanoid ligand receptors	4	9	2.08	1.66	4.86e-06	9606.ENSP00000292513,9606.ENSP00000302846,9606.ENSP00000359793,9606.ENSP00000393333	PTGER1,PTGER4,PTGFR,TBXA2R
HSA-400042	Adrenaline,noradrenaline inhibits insulin secretion	5	28	1.69	1.56	5.15e-06	9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000363411,9606.ENSP00000398629	GNG8,GNG2,GNG12,GNG10,GNG4
HSA-1296041	Activation of G protein gated Potassium channels	5	29	1.67	1.54	5.92e-06	9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000363411,9606.ENSP00000398629	GNG8,GNG2,GNG12,GNG10,GNG4
HSA-997272	Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits	5	29	1.67	1.54	5.92e-06	9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000363411,9606.ENSP00000398629	GNG8,GNG2,GNG12,GNG10,GNG4
HSA-5619099	Defective AVP does not bind AVPR1A,B and causes neurohypophyseal diabetes insipidus (NDI)	3	3	2.44	1.44	3.38e-05	9606.ENSP00000299178,9606.ENSP00000356094,9606.ENSP00000369647	AVPR1A,AVPR1B,AVP
HSA-109582	Hemostasis	12	607	0.73	0.78	7.73e-05	9606.ENSP00000078429,9606.ENSP00000260356,9606.ENSP00000262958,9606.ENSP00000286548,9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000360141,9606.ENSP00000363411,9606.ENSP00000365807,9606.ENSP00000393333,9606.ENSP00000398629	GNA11,THBS1,GNA15,GNAQ,GNG8,GNG2,GNG12,GNAS,GNG10,GNA14,TBXA2R,GNG4
HSA-391906	Leukotriene receptors	3	5	2.22	1.29	8.85e-05	9606.ENSP00000282018,9606.ENSP00000362401,9606.ENSP00000445772	CYSLTR2,CYSLTR1,LTB4R2
HSA-112316	Neuronal System	10	409	0.83	0.83	9.29e-05	9606.ENSP00000260402,9606.ENSP00000300873,9606.ENSP00000306138,9606.ENSP00000314807,9606.ENSP00000334448,9606.ENSP00000338185,9606.ENSP00000360021,9606.ENSP00000363411,9606.ENSP00000398629,9606.ENSP00000443631	PLCB2,GNG8,GRM5,IL1RAP,GNG2,PLCB1,GNG12,GNG10,GNG4,PLCB3
HSA-390696	Adrenoceptors	3	9	1.96	1.1	0.00032	9606.ENSP00000306662,9606.ENSP00000368766,9606.ENSP00000369960	ADRA1B,ADRA1D,ADRA1A
HSA-9009391	Extra-nuclear estrogen signaling	5	75	1.26	0.95	0.00035	9606.ENSP00000300873,9606.ENSP00000334448,9606.ENSP00000360021,9606.ENSP00000363411,9606.ENSP00000398629	GNG8,GNG2,GNG12,GNG10,GNG4
HSA-1855204	Synthesis of IP3 and IP4 in the cytosol	3	26	1.5	0.7	0.0049	9606.ENSP00000260402,9606.ENSP00000338185,9606.ENSP00000443631	PLCB2,PLCB1,PLCB3
HSA-380095	Tachykinin receptors bind tachykinins	2	5	2.04	0.67	0.0083	9606.ENSP00000321106,9606.ENSP00000362403	TAC1,TACR2
HSA-9664535	LTC4-CYSLTR mediated IL4 production	2	7	1.89	0.59	0.0139	9606.ENSP00000282018,9606.ENSP00000362401	CYSLTR2,CYSLTR1
HSA-389397	Orexin and neuropeptides FF and QRFP bind to their respective receptors	2	8	1.84	0.56	0.0171	9606.ENSP00000267017,9606.ENSP00000485512	NPFF,QRFP
HSA-390666	Serotonin receptors	2	12	1.66	0.47	0.0330	9606.ENSP00000258400,9606.ENSP00000437737	HTR2B,HTR2A
HSA-2032785	YAP1- and WWTR1 (TAZ)-stimulated gene expression	2	15	1.56	0.41	0.0484	9606.ENSP00000356954,9606.ENSP00000365663	CCN2,NPPA
