#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
HSA-2243919	Crosslinking of collagen fibrils	9	18	2.22	4.45	5.01e-15	9606.ENSP00000225964,9606.ENSP00000261921,9606.ENSP00000297268,9606.ENSP00000331902,9606.ENSP00000353654,9606.ENSP00000364979,9606.ENSP00000378340,9606.ENSP00000379823,9606.ENSP00000379866	COL1A1,LOXL1,COL1A2,COL4A5,COL4A2,COL4A1,COL4A6,COL4A3,COL4A4
HSA-2214320	Anchoring fibril formation	8	15	2.24	4.02	1.92e-13	9606.ENSP00000225964,9606.ENSP00000297268,9606.ENSP00000331902,9606.ENSP00000353654,9606.ENSP00000364979,9606.ENSP00000378340,9606.ENSP00000379823,9606.ENSP00000379866	COL1A1,COL1A2,COL4A5,COL4A2,COL4A1,COL4A6,COL4A3,COL4A4
HSA-162582	Signal Transduction	31	2540	0.6	0.91	6.11e-11	9606.ENSP00000222399,9606.ENSP00000222573,9606.ENSP00000225964,9606.ENSP00000258341,9606.ENSP00000265379,9606.ENSP00000283249,9606.ENSP00000295550,9606.ENSP00000296181,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000300527,9606.ENSP00000304408,9606.ENSP00000315190,9606.ENSP00000325527,9606.ENSP00000331902,9606.ENSP00000346839,9606.ENSP00000349790,9606.ENSP00000351310,9606.ENSP00000353654,9606.ENSP00000354360,9606.ENSP00000355180,9606.ENSP00000360882,9606.ENSP00000364000,9606.ENSP00000364979,9606.ENSP00000367316,9606.ENSP00000379350,9606.ENSP00000379823,9606.ENSP00000379866,9606.ENSP00000386043,9606.ENSP00000386229,9606.ENSP00000400365	LAMB1,ITGB8,COL1A1,LAMC1,COL6A5,ITGB6,COL6A3,ITGB5,ITGA2,COL1A2,COL6A2,COL3A1,ITGA3,FBN1,COL4A5,FN1,COL9A1,COL6A6,COL4A2,LAMC3,COL6A1,COL5A1,COL5A2,COL4A1,ITGA8,ITGB1,COL4A3,COL4A4,LTBP1,RGS14,LAMA2
HSA-75892	Platelet Adhesion to exposed collagen	6	15	2.12	2.73	2.59e-09	9606.ENSP00000225964,9606.ENSP00000282588,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000358310,9606.ENSP00000379350	COL1A1,ITGA1,ITGA2,COL1A2,ITGA10,ITGB1
HSA-2173789	TGF-beta receptor signaling activates SMADs	7	46	1.7	2.26	1.80e-08	9606.ENSP00000222573,9606.ENSP00000283249,9606.ENSP00000296181,9606.ENSP00000325527,9606.ENSP00000367316,9606.ENSP00000379350,9606.ENSP00000386043	ITGB8,ITGB6,ITGB5,FBN1,ITGA8,ITGB1,LTBP1
HSA-170834	Signaling by TGF-beta Receptor Complex	8	92	1.46	1.94	5.08e-08	9606.ENSP00000222573,9606.ENSP00000283249,9606.ENSP00000296181,9606.ENSP00000297268,9606.ENSP00000325527,9606.ENSP00000367316,9606.ENSP00000379350,9606.ENSP00000386043	ITGB8,ITGB6,ITGB5,COL1A2,FBN1,ITGA8,ITGB1,LTBP1
HSA-3000480	Scavenging by Class A Receptors	5	18	1.96	2.0	5.01e-07	9606.ENSP00000225964,9606.ENSP00000297268,9606.ENSP00000304408,9606.ENSP00000353654,9606.ENSP00000364979	COL1A1,COL1A2,COL3A1,COL4A2,COL4A1
HSA-447041	CHL1 interactions	4	9	2.16	1.78	3.72e-06	9606.ENSP00000282588,9606.ENSP00000296585,9606.ENSP00000358310,9606.ENSP00000379350	ITGA1,ITGA2,ITGA10,ITGB1
HSA-373760	L1CAM interactions	7	120	1.28	1.35	7.50e-06	9606.ENSP00000222399,9606.ENSP00000258341,9606.ENSP00000264741,9606.ENSP00000282588,9606.ENSP00000296585,9606.ENSP00000358310,9606.ENSP00000379350	LAMB1,LAMC1,ITGA9,ITGA1,ITGA2,ITGA10,ITGB1
HSA-8957275	Post-translational protein phosphorylation	6	107	1.27	1.13	7.56e-05	9606.ENSP00000215909,9606.ENSP00000222399,9606.ENSP00000258341,9606.ENSP00000325527,9606.ENSP00000346839,9606.ENSP00000386043	LGALS1,LAMB1,LAMC1,FBN1,FN1,LTBP1
HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	6	124	1.2	1.02	0.00017	9606.ENSP00000215909,9606.ENSP00000222399,9606.ENSP00000258341,9606.ENSP00000325527,9606.ENSP00000346839,9606.ENSP00000386043	LGALS1,LAMB1,LAMC1,FBN1,FN1,LTBP1
HSA-109582	Hemostasis	10	607	0.73	0.64	0.00091	9606.ENSP00000225964,9606.ENSP00000262776,9606.ENSP00000264870,9606.ENSP00000282588,9606.ENSP00000296585,9606.ENSP00000297268,9606.ENSP00000315190,9606.ENSP00000346839,9606.ENSP00000358310,9606.ENSP00000379350	COL1A1,LGALS3BP,F13A1,ITGA1,ITGA2,COL1A2,ITGA3,FN1,ITGA10,ITGB1
HSA-202733	Cell surface interactions at the vascular wall	5	139	1.07	0.66	0.0044	9606.ENSP00000225964,9606.ENSP00000297268,9606.ENSP00000315190,9606.ENSP00000346839,9606.ENSP00000379350	COL1A1,COL1A2,ITGA3,FN1,ITGB1
HSA-9619665	EGR2 and SOX10-mediated initiation of Schwann cell myelination	3	27	1.56	0.72	0.0058	9606.ENSP00000222399,9606.ENSP00000258341,9606.ENSP00000400365	LAMB1,LAMC1,LAMA2
HSA-1566977	Fibronectin matrix formation	2	6	2.04	0.62	0.0140	9606.ENSP00000346839,9606.ENSP00000379350	FN1,ITGB1
HSA-76009	Platelet Aggregation (Plug Formation)	3	39	1.4	0.57	0.0153	9606.ENSP00000225964,9606.ENSP00000297268,9606.ENSP00000346839	COL1A1,COL1A2,FN1
HSA-6785807	Interleukin-4 and Interleukin-13 signaling	4	107	1.09	0.51	0.0192	9606.ENSP00000264870,9606.ENSP00000297268,9606.ENSP00000346839,9606.ENSP00000379350	F13A1,COL1A2,FN1,ITGB1
HSA-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	4	130	1.0	0.42	0.0381	9606.ENSP00000225964,9606.ENSP00000297268,9606.ENSP00000304408,9606.ENSP00000379350	COL1A1,COL1A2,COL3A1,ITGB1
HSA-430116	GP1b-IX-V activation signalling	2	12	1.74	0.46	0.0409	9606.ENSP00000225964,9606.ENSP00000297268	COL1A1,COL1A2
